"Family","ParameterName","ParameterValue","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","CommonProfileHash","SourceCheckpoint"
"Hayward","ell",0.1,3,"Original matched-flat KNN",1000,16,3,12,12,10166,9005,20.332,18.01,1,1,1,1,1,1,0.7953197681232608,,-1161,,8.881784197001252e-16,7.413725372108441e+76,5.844239942026648e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_03.mx"
"Hayward","ell",0.1,4,"Original matched-flat KNN",1000,16,3,12,12,10234,9055,20.468,18.11,1,1,1,1,1,1,0.7973473975505303,,-1179,,8.881784197001252e-16,1.0930062021727885e+77,5.752602584269609e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_04.mx"
"Hayward","ell",0.1,5,"Original matched-flat KNN",1000,16,3,12,12,10119,8977,20.238,17.954,1,1,1,1,1,1,0.8021844334518667,,-1142,,8.881784197001252e-16,3.6137525681300234e+76,2.0631583814396055e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_05.mx"
"Hayward","ell",0.1,6,"Original matched-flat KNN",1000,16,3,12,12,10175,9048,20.35,18.096,1,1,1,1,1,1,0.7961380193669765,,-1127,,8.881784197001252e-16,1.0778629044762434e+77,4.909480181775551e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_06.mx"
"Hayward","ell",0.1,7,"Original matched-flat KNN",1000,16,3,12,12,10054,9093,20.108,18.186,1,1,1,1,1,1,0.7898868589931283,,-961,,8.881784197001252e-16,1.335246562863172e+76,1.0854600434439752e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_07.mx"
"Hayward","ell",0.1,8,"Original matched-flat KNN",1000,16,3,12,12,10153,9041,20.306,18.082,1,1,1,1,1,1,0.7874537389198598,,-1112,,8.881784197001252e-16,3.113810890554713e+76,7.903715775996368e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_08.mx"
"Hayward","ell",0.1,9,"Original matched-flat KNN",1000,16,3,12,12,9996,9097,19.992,18.194,1,1,1,1,1,1,0.7762214424644629,,-899,,8.881784197001252e-16,2.1619982498812847e+75,5.839072387899588e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_09.mx"
"Hayward","ell",0.1,10,"Original matched-flat KNN",1000,16,3,12,12,10234,8978,20.468,17.956,1,1,1,1,1,1,0.8036424090321519,,-1256,,8.881784197001252e-16,6.989702763945915e+76,3.473149635236499e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_10.mx"
"Hayward","ell",0.2,1,"Original matched-flat KNN",1000,16,3,12,12,10338,9071,20.676,18.142,1,1,1,1,1,1,0.7948653003239452,,-1267,,8.881784197001252e-16,9.804047888925079e+75,1.0848574907331814e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_01.mx"
"Hayward","ell",0.2,2,"Original matched-flat KNN",1000,16,3,12,12,10245,9079,20.49,18.158,1,1,1,1,1,1,0.7914988795684348,,-1166,,8.881784197001252e-16,1.5530873545265394e+76,1.0310283730325734e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_02.mx"
